"ext_pois.N","ext_pois.theta"
13467.6863765484,0.858785208775203
13577.605770558,0.865348974612389
14341.7117574468,0.870390445421813
14021.9574445561,0.863635350311323
13008.4959269085,0.854907638584145
14321.5188499501,0.865280519953999
12952.8426194,0.858977744689401
13065.3219698223,0.860957258986024
12902.0365873392,0.853951114710083
13211.1289138421,0.853156800830066
13968.4960243846,0.860835489489675
14364.5669813916,0.864495142985405
12994.5112611266,0.861720935640934
12259.5360839395,0.848079042345387
13223.403313862,0.8586676487315
12231.4913876516,0.850979985219275
13964.2890957429,0.862980769784004
13811.314317144,0.863701958934511
13781.2597295829,0.866797761439366
12817.8990148862,0.854774601893396
13346.8187749266,0.867022054473163
12613.0614309665,0.848158802604191
14145.0608363363,0.867655646755
13034.8931788907,0.85203950605466
14656.0714392066,0.871684472578614
12323.1958901607,0.847169703387853
12490.2231074477,0.858781989745431
14413.1578733381,0.868184280995106
12753.5712226773,0.857132565375761
13086.8660371337,0.854605029133486
14952.8983425801,0.874420262125113
14137.0640197039,0.868062005523218
12355.4786590995,0.854063131505836
13721.8862344243,0.862386186044263
12459.3562892723,0.848895914469439
14275.6948641483,0.867399528685227
12878.6540167511,0.858793085915617
13204.0153888494,0.86295107328834
11823.8940181478,0.839964303208169
13580.2462339675,0.855347206518681
12755.3477476428,0.847549784026917
13375.3489528051,0.862955618904335
14983.2404952458,0.87211369015555
12487.8996003356,0.847184375104579
13185.9595767724,0.858854810347008
12613.5162732863,0.851253676448133
12503.4120719554,0.856055978370647
15553.2380816995,0.875351752535352
14764.3415004616,0.8683047669667
13224.2260919538,0.856812115117979
13377.0176235558,0.858732214204977
14495.1771618636,0.870274859766088
12823.8925769966,0.854875454058062
12786.3247069925,0.853263523876853
13439.6269663981,0.857350329402335
14443.3556589071,0.866649464259364
13259.6614620833,0.861528628823741
14141.0983621879,0.864018929213769
13094.6578951595,0.859797424526323
13660.8750899505,0.862706391316547
13110.3322801483,0.860309985771707
13814.508089318,0.86504842880537
14647.7849501011,0.870471522030894
13673.0115119037,0.859030210090209
13643.4372713727,0.862619526154511
12745.7907177625,0.858684179996882
12925.349792089,0.854599471832961
15126.0667252344,0.876386821486043
13059.7269528464,0.8540309967849
13679.2397564709,0.860413562058468
12735.7156236977,0.850069283603558
14392.1277745966,0.867815325497722
14353.6632165414,0.871118565476736
12722.0676649857,0.853284331435592
14259.3992844609,0.866267561638741
13706.8251775372,0.859578980891167
13855.8418993459,0.866119168750868
12929.406193075,0.856917757093963
13032.7995794917,0.860761438880801
14264.3197298388,0.867765030721211
12814.2322406191,0.853713455201985
13531.867953321,0.862396526238098
13363.0875982688,0.861870991099455
13119.6274196201,0.856007051274156
12773.5312021048,0.857299679495828
12697.6456630445,0.851184202674469
13727.5404268602,0.857894664195996
12549.0412760223,0.852632539399364
14661.7485118531,0.869871449918255
12670.5710799619,0.853007312203843
13680.8701735164,0.861397143457555
12891.9019547459,0.85251372898637
13592.5855921363,0.862032846959519
13527.7905251722,0.863556076633979
12201.2335775575,0.845446404108858
